Stop_name, stop_Long, stop_Lat
176 Rhode Island St, 37.7562, -122.402
Rhode Island St & 15th St, 37.7675, -122.403
Rhode Island St & 16th St, 37.7664, -122.403
Rhode Island St & 17th St, 37.7649, -122.403
Rhode Island St & 18th St, 37.762, -122.402
Rhode Island St & 19th St, 37.7609, -122.402
Rhode Island St & 20th St, 37.7594, -122.402
Rhode Island St & 22nd St, 37.7569, -122.402
Rhode Island St & 23rd St, 37.7543, -122.402
Rhode Island St & 24th St, 37.7535, -122.402
Rhode Island St & 25th St, 37.7521, -122.401
Rhode Island St & 26th St, 37.7507, -122.401
Rhode Island St & Alameda St, 37.7688, -122.403
Rhode Island St & Mariposa St, 37.7633, -122.403
Rhode Island St & Southern Heights Ave, 37.7585, -122.402
Ripley St & Alabama St, 37.7444, -122.41
Ripley St & Folsom St, 37.7442, -122.413
Rousseau St & Cayuga Ave, 37.7314, -122.43
Right Of Way/18th St, 37.7612, -122.428
Right Of Way/20th St, 37.7583, -122.428
Right Of Way/21st St, 37.7566, -122.427
Church St & 22nd St, 37.7546, -122.428
Right Of Way/Eucalyptus Dr, 37.7312, -122.474
Right Of Way/Liberty St, 37.7575, -122.427
Right Of Way/Ocean Ave, 37.732, -122.474
Reposa Way & Myra Way, 37.7402, -122.451
Reposa Way & Teresita Blvd, 37.7408, -122.449
414 Roosevelt Way, 37.7645, -122.443
415 Roosevelt Way, 37.7645, -122.443
Roosevelt Way & 14th St, 37.7672, -122.437
Roosevelt Way & 15th St, 37.7665, -122.44
Roosevelt Way & 17th St, 37.762, -122.445
Roosevelt Way & Clifford Ter, 37.7637, -122.443
Roosevelt Way & Lower Ter, 37.7634, -122.444
Roosevelt Way & Museum Way, 37.7654, -122.441
Russia Ave & Moscow St, 37.7181, -122.43
Rutland St & Leland Ave, 37.7125, -122.407
Sansome St & Washington St, 37.796, -122.402
Santos St & Brookdale Ave, 37.712, -122.419
19th Avenue & Holloway St, 37.7212, -122.475
Dublin St & La Grande Ave, 37.7192, -122.426
3rd St & Carroll Ave, 37.7257, -122.394
3rd St & Evans Ave, 37.7424, -122.388
3rd St & Folsom St, 37.7842, -122.399
3rd St & Hudson Ave, 37.7401, -122.389
3rd St & Innes Ave, 37.7393, -122.389
3rd St & La Salle Ave, 37.7372, -122.39
3rd St & Kirkwood Ave, 37.7379, -122.39
3rd St & Stevenson St, 37.7864, -122.402
3rd St & Palou Ave, 37.7341, -122.391
3rd St & Oakdale Ave, 37.7348, -122.391
3rd St & Bryant St, 37.7817, -122.396
3rd St & Revere Ave, 37.7323, -122.391
3rd St & Salinas Ave, 37.7209, -122.396
3rd St & Van Dyke Ave, 37.7292, -122.393
3rd St & Williams Ave, 37.7292, -122.393
4th St & 3rd St, 37.773, -122.39
4th St & Brannan St, 37.7783, -122.397
4th St & Folsom St, 37.7821, -122.401
4th St & Mission St, 37.7843, -122.404
4th St & Market St, 37.7855, -122.406
4th St & Townsend St, 37.7769, -122.395
5th St & Folsom St, 37.7803, -122.404
5th St & Mission St, 37.7826, -122.406
6th Ave & Balboa St, 37.7771, -122.464
6th Ave & Clement St, 37.7831, -122.464
6th Ave & Fulton St, 37.7738, -122.464
6th Ave & Geary Blvd, 37.7809, -122.464
1697 7th Ave, 37.7566, -122.464
7th St & Brannan St, 37.7733, -122.403
7th St & Folsom St, 37.7769, -122.408
7th St & Harrison St, 37.7757, -122.406
7th St & Howard St, 37.7779, -122.409
7th St & Mission St, 37.7793, -122.411
7th St & Market St, 37.7803, -122.412
8th Ave & Fulton St, 37.7736, -122.466
8th St & Brannan St, 37.7712, -122.405
8th St & Bryant St, 37.7724, -122.407
8th St & Folsom St, 37.7748, -122.41
8th St & Harrison St, 37.7735, -122.408
8th St & Mission St, 37.7772, -122.413
8th St & Market St, 37.7785, -122.415
9th Ave & Irving St, 37.7643, -122.466
9th Ave & Judah St, 37.7621, -122.466
9th Ave & Kirkham St, 37.7604, -122.466
9th Ave & Lawton St, 37.7585, -122.466
18th St & Church St, 37.7614, -122.428
18th St & Castro St, 37.761, -122.435
18th St & Danvers St, 37.7604, -122.444
18th St & Diamond St, 37.7607, -122.437
18th St & Dolores St, 37.7615, -122.426
18th St & Eureka St, 37.7608, -122.438
18th St & Guerrero St, 37.7616, -122.424
18th St & Hattie St, 37.7606, -122.441
18th St & Mission St, 37.7619, -122.42
18th St & Market St, 37.7598, -122.444
18th St & Noe St, 37.7611, -122.433
18th St & Sanchez St, 37.7612, -122.43
18th St & Valencia St, 37.7618, -122.422
19th Ave & Buckingham Way, 37.7259, -122.475
19th Ave & Eucalyptus Dr, 37.7308, -122.475
19th Ave & Holloway Ave, 37.7211, -122.475
19th Ave & Irving St, 37.7637, -122.477
19th Ave & Junipero Serra Blvd, 37.7169, -122.472
19th Ave & Judah St, 37.7618, -122.477
19th Ave & Lawton St, 37.7581, -122.477
19th Ave & Lincoln Way, 37.7654, -122.477
19th Ave & Noriega St, 37.7543, -122.476
19th Ave & Randolph St, 37.7162, -122.472
19th Ave & Ortega St, 37.7527, -122.476
19th Ave & Quintara St, 37.7485, -122.476
19th Ave & Rivera St, 37.7472, -122.476
19th Ave & Sloat Blvd, 37.7346, -122.475
19th Ave & Taraval St, 37.7433, -122.476
19th Ave & Vicente St, 37.7395, -122.475
19th Ave & Winston Dr, 37.7272, -122.475
20th Ave & Buckingham Way, 37.7304, -122.476
20th Av/Macy's Stonestown, 37.7289, -122.476
20th Ave & Winston Dr, 37.7269, -122.476
20th St & 3rd St, 37.7605, -122.389
20th St & Collingwood St, 37.7577, -122.436
20th St & Eureka St, 37.7576, -122.438
30th Ave & Quintara St, 37.748, -122.488
30th Ave & Rivera St, 37.7464, -122.488
30th Ave & Santiago St, 37.7445, -122.488
30th Ave & Taraval St, 37.7426, -122.488
30th Ave & Ulloa St, 37.7408, -122.487
30th St & Church St, 37.7422, -122.426
30th St & Dolores St, 37.7423, -122.424
30th St & Mission St, 37.7424, -122.422
30th St & Noe St, 37.7419, -122.431
30th St & Sanchez St, 37.742, -122.429
32nd Ave & Balboa St, 37.7767, -122.492
32nd Ave & California St, 37.7834, -122.492
32nd Ave & Clement St, 37.782, -122.492
32nd Ave & Geary Blvd, 37.7799, -122.492
33rd Ave & Anza St, 37.7779, -122.493
33rd Ave & Balboa St, 37.776, -122.493
33rd Ave & Clement St, 37.7815, -122.493
33rd Ave & Geary Blvd, 37.7798, -122.493
36th Ave & Lincoln Way, 37.7646, -122.495
37th Ave & Lincoln Way, 37.7644, -122.497
39th Ave & Quintara St, 37.7476, -122.497
39th Ave & Rivera St, 37.746, -122.497
42nd Ave & Clement St, 37.7811, -122.503
43rd Ave & Clement St, 37.781, -122.504
43rd Ave & Point Lobos Ave, 37.7798, -122.504
45th Ave & Balboa St, 37.7752, -122.506
45th Ave & Cabrillo St, 37.7736, -122.506
46th Ave & Irving St, 37.7624, -122.506
46th Ave & Judah St, 37.7605, -122.506
46th Ave & Kirkham St, 37.7587, -122.506
46th Ave & Lawton St, 37.7568, -122.506
46th Ave & Lincoln Way, 37.764, -122.506
46th Ave & Moraga St, 37.7549, -122.506
46th Ave & Noriega St, 37.7528, -122.505
46th Ave & Ortega St, 37.7512, -122.505
46th Ave & Pacheco St, 37.7493, -122.505
46th Ave & Quintara St, 37.7475, -122.505
46th Ave & Rivera St, 37.7456, -122.505
46th Ave & Santiago St, 37.7437, -122.505
46th Ave & Taraval St, 37.7419, -122.505
46th Ave & Ulloa St, 37.74, -122.505
46th Ave & Vicente St, 37.7381, -122.504
46th Ave & Wawona St, 37.7361, -122.504
47th Ave & Wawona St, 37.736, -122.505
48th Ave & Point Lobos Ave, 37.779, -122.509
Cyril Magnin St & Market St, 37.784, -122.408
46 Addison St, 37.7377, -122.431
164 Addison  St, 37.7382, -122.433
Addison St & Diamond Heights Blvd, 37.74, -122.436
Addison  St & Digby St, 37.74, -122.434
Addison  St & Farnum St, 37.7402, -122.434
Alana Way & Executive Park Blvd, 37.709, -122.394
Alemany Blvd & Arch St, 37.7116, -122.467
Bryant St & 6th St, 37.7762, -122.402
Bryant St & 16th St, 37.7655, -122.41
Bryant St & 17th St, 37.7642, -122.41
Bryant St & 18th St, 37.7619, -122.41
Bryant St & 19th St, 37.7606, -122.41
Bryant St & 20th St, 37.7593, -122.41
Bryant St & 21st St, 37.7575, -122.41
Bryant St & 22nd St, 37.7562, -122.409
Bryant St & 23rd St, 37.7543, -122.409
Bryant St & 24th St, 37.7529, -122.409
Bryant St & 25th St, 37.7513, -122.409
Bryant St & 26th St, 37.7497, -122.409
Bryant St & Mariposa St, 37.7631, -122.41
Brazil Ave & Athens St, 37.7216, -122.428
Brazil Ave & Madrid St, 37.7231, -122.432
Brazil Ave & Mission St, 37.7247, -122.435
Brazil Ave & Moscow St, 37.7212, -122.427
Brazil Ave & Munich St, 37.7209, -122.427
Brazil Ave & Naples St, 37.7224, -122.43
Brazil Ave & Paris St, 37.724, -122.433
Brazil Ave & Prague St, 37.7205, -122.426
228 Bayshore Blvd, 37.7447, -122.404
Bayshore Blvd & Alemany Blvd, 37.7377, -122.407
Bayshore Blvd & Arleta Ave, 37.7122, -122.403
Bayshore Blvd & Augusta St, 37.7342, -122.406
Bayshore Blvd & Boutwell St, 37.7349, -122.406
Bayshore Blvd & Cortland Ave, 37.7399, -122.407
Bayshore Blvd & Hester Ave, 37.7135, -122.4
Bayshore Blvd & Leland Ave, 37.7111, -122.404
Bayshore Blvd & Silver Ave, 37.7332, -122.405
Bayshore Blvd & Tunnel Ave, 37.7129, -122.401
Bayshore Blvd & Visitacion Ave, 37.7106, -122.404
Buchanan St & Bay St, 37.8034, -122.433
Santos St & Geneva Ave, 37.7085, -122.42
Santos St & Velasco Ave, 37.7098, -122.419
3800 San Bruno Ave, 37.7148, -122.401
3801 San Bruno Ave, 37.7148, -122.4
San Bruno Ave & Arleta Ave, 37.7125, -122.402
San Bruno Ave & Bacon St, 37.728, -122.404
San Bruno Ave & Dwight St, 37.7241, -122.402
