Route_name,Stop_name,Stop_name
K Ingleside Bus,Market St & Battery St,Market St & Drumm St
K Ingleside Bus,Market St & 2nd St,Market St & Battery St
K Ingleside Bus,Market St & Kearny St,Market St & 2nd St
K Ingleside Bus,Market St & Stockton St,Market St & Kearny St
K Ingleside Bus,Market St & 5th  St,Market St & Stockton St
K Ingleside Bus,Market St & Taylor St,Market St & 5th  St
K Ingleside Bus,Market St & 7th St,Market St & Taylor St
K Ingleside Bus,Market St & Hyde St,Market St & 7th St
K Ingleside Bus,Market St & Larkin St,Market St & Hyde St
K Ingleside Bus,Market St & Van Ness Ave,Market St & Larkin St
K Ingleside Bus,Market St & Gough St,Market St & Van Ness Ave
K Ingleside Bus,Market St & Laguna St,Market St & Gough St
K Ingleside Bus,Market St & Buchanan St,Market St & Laguna St
K Ingleside Bus,Market St & Church St,Market St & Buchanan St
K Ingleside Bus,Market St & Sanchez St,Market St & Church St
K Ingleside Bus,Market St & 16th St,Market St & Sanchez St
K Ingleside Bus,Market St & Castro St,Market St & 16th St
K Ingleside Bus,Market St & Clayton St,Market St & Castro St
K Ingleside Bus,Portola Dr & Burnett Ave,Market St & Clayton St
K Ingleside Bus,Woodside Ave & Portola Dr,Portola Dr & Burnett Ave
K Ingleside Bus,Ulloa St & Claremont St,Woodside Ave & Portola Dr
K Ingleside Bus,West Portal Ave & 14th Ave,Ulloa St & Claremont St
K Ingleside Bus,Junipero Serra Blvd & Sloat Blvd,West Portal Ave & 14th Ave
K Ingleside Bus,Ocean Ave & Junipero Serra Blvd,Junipero Serra Blvd & Sloat Blvd
K Ingleside Bus,Ocean Ave & San Leandro Way,Ocean Ave & Junipero Serra Blvd
K Ingleside Bus,Ocean Ave & Aptos Ave,Ocean Ave & San Leandro Way
K Ingleside Bus,Ocean Ave & Cerritos Ave,Ocean Ave & Aptos Ave
K Ingleside Bus,Ocean Ave & Victoria St,Ocean Ave & Cerritos Ave
K Ingleside Bus,Ocean Ave & Jules Ave,Ocean Ave & Victoria St
K Ingleside Bus,Ocean Ave & Miramar Ave,Ocean Ave & Jules Ave
K Ingleside Bus,Ocean Ave & Lee St,Ocean Ave & Miramar Ave
K Ingleside Bus,Ocean Ave & Geneva Ave,Ocean Ave & Lee St
K Ingleside Bus,San Jose Ave & Geneva Ave,Ocean Ave & Geneva Ave
L Owl,46th Ave & Vicente St,Wawona/46th Ave /SF Zoo
L Owl,46th Ave & Ulloa St,46th Ave & Vicente St
L Owl,46th Ave & Taraval St,46th Ave & Ulloa St
L Owl,Taraval St & 44th Ave,46th Ave & Taraval St
L Owl,Taraval St & 42nd Ave,Taraval St & 44th Ave
L Owl,Taraval St & 40th Ave,Taraval St & 42nd Ave
L Owl,Taraval St & Sunset Blvd,Taraval St & 40th Ave
L Owl,Taraval St & 32nd Ave,Taraval St & Sunset Blvd
L Owl,Taraval St & 30th Ave,Taraval St & 32nd Ave
L Owl,Taraval St & 26th Ave,Taraval St & 30th Ave
L Owl,Taraval St & 22nd Ave,Taraval St & 26th Ave
L Owl,Taraval St & 19th Ave,Taraval St & 22nd Ave
L Owl,Taraval St & 17th Ave,Taraval St & 19th Ave
L Owl,15th Ave & Taraval St,Taraval St & 17th Ave
L Owl,Ulloa St & Forest Side Ave,15th Ave & Taraval St
L Owl,Ulloa St & West Portal Ave,Ulloa St & Forest Side Ave
L Owl,Woodside Ave & Balceta Ave,Ulloa St & West Portal Ave
L Owl,Woodside Ave & Hernandez Ave,Woodside Ave & Balceta Ave
L Owl,Woodside Ave & Ulloa St,Woodside Ave & Hernandez Ave
L Owl,Woodside Ave & Portola Dr,Woodside Ave & Ulloa St
L Owl,Portola Dr & Glenview Dr,Woodside Ave & Portola Dr
L Owl,Portola Dr & Clipper St,Portola Dr & Glenview Dr
L Owl,Market St & Clayton St,Portola Dr & Clipper St
L Owl,Market St & Castro St,Market St & Clayton St
L Owl,Market St & Noe St,Market St & Castro St
L Owl,Market St & Sanchez St,Market St & Noe St
L Owl,Market St & Church St,Market St & Sanchez St
L Owl,Market St & Dolores St,Market St & Church St
L Owl,Market St & Guerrero St,Market St & Dolores St
L Owl,Market St & Gough St,Market St & Guerrero St
L Owl,Market St & South Van Ness Ave,Market St & Gough St
L Owl,Market St & 9th St,Market St & South Van Ness Ave
L Owl,Market St & 8th St,Market St & 9th St
L Owl,Market St & 7th St,Market St & 8th St
L Owl,Market St & 6th St,Market St & 7th St
L Owl,Market St & 5th St,Market St & 6th St
L Owl,Market St & 4th St,Market St & 5th St
L Owl,Market St & 3rd St,Market St & 4th St
L Owl,Market St & New Montgomery St,Market St & 3rd St
L Owl,Market St & 1st St,Market St & New Montgomery St
L Owl,Market St & Main St,Market St & 1st St
L Owl,Don Chee Way/Steuart St,Market St & Main St
L Owl,The Embarcadero & Ferry Building,Don Chee Way/Steuart St
L Owl,The Embarcadero & Washington St,The Embarcadero & Ferry Building
L Owl,The Embarcadero & Broadway,The Embarcadero & Washington St
