to,from,CoordsFromLat,CoordsFromLong,CoordsToLat,CoordsToLong
San Jose Ave & Santa Ynez Ave,San Jose Ave & Ocean Ave,37.72589874,-122.44200134,37.72309875,-122.44499969
San Jose Ave & Ocean Ave,Balboa Park BART Mezzanine Level,37.72309875,-122.44499969,37.72180176,-122.44699860
Balboa Park BART Mezzanine Level,San Jose Ave & Geneva Ave,37.72180176,-122.44699860,37.72119904,-122.44599915
West Portal Ave & Sloat Blvd,Ulloa St & West Portal Ave,37.73500061,-122.47100067,37.74100113,-122.46600342
Ulloa St & West Portal Ave,Laguna Honda Blvd/Metro Forest Hill Station,37.74100113,-122.46600342,37.74810028,-122.45899963
Laguna Honda Blvd/Metro Forest Hill Station,Market St & Castro St,37.74810028,-122.45899963,37.76290131,-122.43499756
Market St & Castro St,Market St & Noe St,37.76290131,-122.43499756,37.76449966,-122.43299866
Market St & Main St,Market St & Beale St,37.79299927,-122.39700317,37.79259872,-122.39700317
Market St & Beale St,Spear St & Market St,37.79259872,-122.39700317,37.79339981,-122.39499664
Steuart St & Market St,Market St & Drumm St,37.79439926,-122.39499664,37.79349899,-122.39600372
Market St & Sanchez St,Market St & 16th St,37.76620102,-122.43099976,37.76390076,-122.43399811
Market St & 16th St,Market St & Castro St,37.76390076,-122.43399811,37.76290131,-122.43499756
Market St & Castro St,Laguna Honda Blvd/Metro Forest Hill Station,37.76290131,-122.43499756,37.74810028,-122.45899963
Laguna Honda Blvd/Metro Forest Hill Station,Ulloa St & Claremont Blvd,37.74810028,-122.45899963,37.74079895,-122.46499634
Ulloa St & Claremont Blvd,West Portal Ave & Sloat Blvd,37.74079895,-122.46499634,37.73500061,-122.47100067
San Jose Ave & Geneva Ave,Ocean Ave/CCSF Pedestrian Bridge,37.72119904,-122.44599915,37.72299957,-122.45099640
Ocean Ave/CCSF Pedestrian Bridge,Ocean Ave & Lee St,37.72299957,-122.45099640,37.72349930,-122.45400238
Ocean Ave & Lee St,Ocean Ave & Miramar Ave,37.72349930,-122.45400238,37.72439957,-122.45800018
