RouteName, Coords
Walking Distance, "MULTILINESTRING ((-122.387 37.726, -122.386 37.7273))"
Walking Distance, "MULTILINESTRING ((-122.387 37.726, -122.389 37.727))"
Walking Distance, "MULTILINESTRING ((-122.387 37.726, -122.385 37.7284))"
Walking Distance, "MULTILINESTRING ((-122.387 37.726, -122.385 37.7285))"
Walking Distance, "MULTILINESTRING ((-122.387 37.726, -122.386 37.7295))"
Walking Distance, "MULTILINESTRING ((-122.389 37.717, -122.391 37.718))"
Walking Distance, "MULTILINESTRING ((-122.389 37.717, -122.388 37.7182))"
Walking Distance, "MULTILINESTRING ((-122.389 37.717, -122.387 37.7175))"
Walking Distance, "MULTILINESTRING ((-122.389 37.717, -122.39 37.7192))"
Walking Distance, "MULTILINESTRING ((-122.391 37.718, -122.39 37.7192))"
Walking Distance, "MULTILINESTRING ((-122.391 37.718, -122.389 37.717))"
Walking Distance, "MULTILINESTRING ((-122.391 37.718, -122.388 37.7182))"
Walking Distance, "MULTILINESTRING ((-122.391 37.718, -122.39 37.7199))"
Walking Distance, "MULTILINESTRING ((-122.459 37.7644, -122.463 37.7642))"
Walking Distance, "MULTILINESTRING ((-122.459 37.7644, -122.458 37.7644))"
Walking Distance, "MULTILINESTRING ((-122.459 37.7644, -122.458 37.766))"
Walking Distance, "MULTILINESTRING ((-122.459 37.7644, -122.457 37.765))"
Walking Distance, "MULTILINESTRING ((-122.458 37.7644, -122.457 37.765))"
Walking Distance, "MULTILINESTRING ((-122.458 37.7644, -122.459 37.7644))"
Walking Distance, "MULTILINESTRING ((-122.458 37.7644, -122.458 37.7633))"
Walking Distance, "MULTILINESTRING ((-122.458 37.7644, -122.458 37.766))"
Walking Distance, "MULTILINESTRING ((-122.495 37.7162, -122.498 37.717))"
Walking Distance, "MULTILINESTRING ((-122.495 37.7162, -122.485 37.7091))"
Walking Distance, "MULTILINESTRING ((-122.495 37.7162, -122.5 37.719))"
Walking Distance, "MULTILINESTRING ((-122.495 37.7162, -122.485 37.7115))"
Walking Distance, "MULTILINESTRING ((-122.495 37.7162, -122.485 37.7242))"
Walking Distance, "MULTILINESTRING ((-122.498 37.717, -122.5 37.719))"
Walking Distance, "MULTILINESTRING ((-122.498 37.717, -122.495 37.7162))"
Walking Distance, "MULTILINESTRING ((-122.498 37.717, -122.502 37.7264))"
Walking Distance, "MULTILINESTRING ((-122.498 37.717, -122.485 37.7115))"
Walking Distance, "MULTILINESTRING ((-122.498 37.717, -122.502 37.7282))"
Walking Distance, "MULTILINESTRING ((-122.5 37.719, -122.502 37.7264))"
Walking Distance, "MULTILINESTRING ((-122.5 37.719, -122.498 37.717))"
Walking Distance, "MULTILINESTRING ((-122.5 37.719, -122.495 37.7162))"
Walking Distance, "MULTILINESTRING ((-122.5 37.719, -122.502 37.7282))"
Walking Distance, "MULTILINESTRING ((-122.5 37.719, -122.502 37.7286))"
Walking Distance, "MULTILINESTRING ((-122.471 37.7136, -122.472 37.7169))"
Walking Distance, "MULTILINESTRING ((-122.471 37.7136, -122.472 37.7146))"
Walking Distance, "MULTILINESTRING ((-122.471 37.7136, -122.473 37.713))"
Walking Distance, "MULTILINESTRING ((-122.471 37.7136, -122.473 37.7141))"
Walking Distance, "MULTILINESTRING ((-122.471 37.7107, -122.469 37.7065))"
Walking Distance, "MULTILINESTRING ((-122.471 37.7107, -122.471 37.7109))"
Walking Distance, "MULTILINESTRING ((-122.471 37.7107, -122.469 37.7104))"
Walking Distance, "MULTILINESTRING ((-122.471 37.7107, -122.469 37.7103))"
