id, name, lat, long
241,Mission St & Valencia St,37.7451,-122.42
242,Mission St & Whittier St,37.7105,-122.448
243,Munich St & Cordova Ave,37.7109,-122.435
244,Munich St & Geneva Ave,37.7129,-122.433
245,Munich St & Naples St,37.7112,-122.438
246,Galvez Ave & Robinson Ave,37.7288,-122.367
247,33 Moffitt St,37.7368,-122.432
248,Market St & 1st St,37.7905,-122.4
249,Market St & 2nd St,37.7894,-122.401
250,Market St & 3rd St,37.7875,-122.404
251,Market St Between 4th & 3rd St,37.7866,-122.405
252,Market St & 4th St,37.7857,-122.406
253,Market St Between 5th & 4th St,37.7848,-122.407
254,Market St & 5th St,37.7839,-122.408
255,Market St Between 6th & 5th St,37.7826,-122.41
256,Market St & 6th St,37.7821,-122.41
257,Market St Between 7th & 6th St,37.7808,-122.412
258,Market St & 7th St,37.7798,-122.413
259,Market St & 8th St,37.7786,-122.415
260,Market St & 9th St,37.7774,-122.416
261,Market St & 15th St,37.7657,-122.431
262,Market St & 16th St,37.7639,-122.434
263,Market St & Battery St,37.7911,-122.399
264,Market St & Beale St,37.7926,-122.397
265,Market St & Buchanan St,37.7698,-122.426
266,Market St & Church St,37.7677,-122.429
267,Market St & Clayton St,37.7584,-122.444
268,Market St & Castro St,37.7629,-122.435
269,Market St & 17th St,37.763,-122.435
270,Market St & Dolores St,37.7689,-122.427
271,Market St & Drumm St,37.7935,-122.396
272,Market St & Front St,37.7919,-122.398
273,Market St & Gough St,37.7733,-122.422
274,Market St & Grant Ave,37.7864,-122.405
275,Market St & Guerrero St,37.7706,-122.425
276,Market St & Hyde St,37.7791,-122.414
277,Market St & Kearny St,37.7877,-122.403
278,Market St & Larkin St,37.7776,-122.416
279,Market St & Laguna St,37.771,-122.425
280,Market St & Main St,37.793,-122.397
281,Market St & Mason St,37.7828,-122.41
282,Market St & Montgomery St,37.7885,-122.402
283,Market St & New Montgomery St,37.7886,-122.402
284,Market St & Noe St,37.7645,-122.433
285,Market St & Powell St,37.7845,-122.408
286,Market St & Sansome St,37.79,-122.4
287,Market St & Sanchez St,37.7662,-122.431
288,Market St & South Van Ness Ave,37.7751,-122.419
289,Market St & Steuart St,37.7943,-122.395
290,Market St & Stockton St,37.7858,-122.406
291,Market St & Taylor St,37.7823,-122.41
292,Market St & Van Ness Ave,37.7752,-122.419
293,Marview Way & Panorama Dr,37.7536,-122.451
294,Moscow St & Brazil Ave,37.7214,-122.428
295,Moscow St & Excelsior Ave,37.7229,-122.426
296,Moscow St & France Ave,37.7167,-122.431
297,Moscow St & Italy Ave,37.7151,-122.432
298,Moscow St & Persia Ave,37.7198,-122.429
299,Masonic Ave & Frederick St,37.7675,-122.445
300,Masonic Ave & Fulton St,37.7756,-122.447
301,Geary St & Masonic Ave,37.7822,-122.447
302,Masonic Ave & Geary St,37.7821,-122.448
303,Plymouth Ave & Grafton Ave,37.7199,-122.456
304,Plymouth Ave & Holloway Ave,37.7219,-122.456
305,Plymouth Ave & Lakeview Ave,37.7182,-122.456
306,Plymouth Ave & Lobos St,37.715,-122.456
307,Plymouth Ave & Mangels Ave,37.7321,-122.458
308,Plymouth Ave & Montana St,37.7165,-122.456
309,Plymouth Ave & Monterey Blvd,37.7311,-122.458
310,Plymouth Ave & Ocean Ave,37.7238,-122.456
311,Plymouth Ave & Sagamore St,37.7117,-122.456
