to,from,CoordsFromLat,CoordsFromLong,CoordsToLat,CoordsToLong
West Portal Station,West Portal Ave & Ulloa St,37.74098969,-122.46576691,37.74089432,-122.46584320
West Portal Ave & Ulloa St,West Portal Ave & 14th Ave,37.74089432,-122.46584320,37.73785019,-122.46914673
West Portal Ave & 14th Ave,West Portal Ave & Sloat Blvd,37.73785019,-122.46914673,37.73503876,-122.47134399
West Portal Ave & Sloat Blvd,Junipero Serra Blvd & Ocean Ave,37.73503876,-122.47134399,37.73136139,-122.47167206
Junipero Serra Blvd & Ocean Ave,Ocean Ave & San Leandro Way,37.73136139,-122.47167206,37.72998810,-122.46909332
Ocean Ave & San Leandro Way,Ocean Ave & Aptos Ave,37.72998810,-122.46909332,37.72828674,-122.46755981
Ocean Ave & Aptos Ave,Ocean Ave & Cerritos Ave,37.72828674,-122.46755981,37.72725296,-122.46675873
Ocean Ave & Cerritos Ave,Ocean Ave & Victoria St,37.72725296,-122.46675873,37.72602844,-122.46434021
Ocean Ave & Victoria St,Ocean Ave & Jules Ave,37.72602844,-122.46434021,37.72495651,-122.46138763
Ocean Ave & Jules Ave,Ocean Ave & Miramar Ave,37.72495651,-122.46138763,37.72438812,-122.45807648
Ocean Ave & Miramar Ave,Ocean Ave & Lee St,37.72438812,-122.45807648,37.72345734,-122.45400238
Ocean Ave & Lee St,Ocean Ave/CCSF Pedestrian Bridge,37.72345734,-122.45400238,37.72304153,-122.45144653
Ocean Ave/CCSF Pedestrian Bridge,Balboa Park BART Mezzanine Level,37.72304153,-122.45144653,37.72180939,-122.44742584
San Jose Ave & Geneva Ave,Ocean Ave & Geneva Ave,37.72123718,-122.44622040,37.72312164,-122.45213318
Ocean Ave & Geneva Ave,Ocean Ave & Lee St,37.72312164,-122.45213318,37.72345734,-122.45400238
West Portal Ave & 14th Ave,West Portal Ave & Ulloa St,37.73785019,-122.46914673,37.74089432,-122.46584320
West Portal Ave & Ulloa St,Portola Dr & O Shaughnessy Blvd,37.74089432,-122.46584320,37.74534607,-122.45182037
Portola Dr & O Shaughnessy Blvd,Portola Dr & Clipper St,37.74534607,-122.45182037,37.74715042,-122.44419861
Portola Dr & Clipper St,Market St & Clayton St,37.74715042,-122.44419861,37.75840759,-122.44405365
Market St & Clayton St,Market St & Castro St,37.75840759,-122.44405365,37.76292038,-122.43460846
Market St & 1st St,Market St & Beale St,37.79048538,-122.39971924,37.79257202,-122.39701843
Market St & Beale St,Steuart St & Mission St,37.79257202,-122.39701843,37.79427338,-122.39442444
Steuart St & Mission St,Market St & Drumm St,37.79427338,-122.39442444,37.79347229,-122.39617920
Market St & Castro St,Market St & Clayton St,37.76292038,-122.43460846,37.75840759,-122.44405365
Market St & Clayton St,Portola Dr & Burnett Ave,37.75840759,-122.44405365,37.74703217,-122.44487000
Portola Dr & Burnett Ave,Woodside Ave & Portola Dr,37.74703217,-122.44487000,37.74576569,-122.45243073
Woodside Ave & Portola Dr,Ulloa St & Claremont Blvd,37.74576569,-122.45243073,37.74076080,-122.46540833
Ulloa St & Claremont Blvd,West Portal Ave & 14th Ave,37.74076080,-122.46540833,37.73785019,-122.46914673
West Portal Ave & 14th Ave,Junipero Serra Blvd & Sloat Blvd,37.73785019,-122.46914673,37.73430634,-122.47167206
Junipero Serra Blvd & Sloat Blvd,Ocean Ave & Junipero Serra Blvd,37.73430634,-122.47167206,37.73095322,-122.47168732
